user,a perfect circle,abba,ac/dc,adam green,aerosmith,afi,air,alanis morissette,alexisonfire,alicia keys
1,0,0,0,0,0,0,0,0,0,0
33,0,0,0,1,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,1,0
130,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0,0,0,0
256,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0
313,0,0,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0,0,0
336,0,0,0,0,0,1,0,0,0,0
367,0,0,0,0,0,0,0,0,0,0
371,0,0,0,0,0,0,0,0,0,0
383,0,0,0,0,0,0,0,0,0,0
422,0,0,0,0,0,0,0,0,0,0
428,0,0,1,0,0,0,0,0,0,0
438,0,0,0,0,0,0,0,0,0,0
447,0,0,0,0,0,0,0,0,0,0
458,0,0,0,0,0,0,0,0,0,0
472,0,0,0,0,0,0,0,0,0,0
477,0,0,0,0,0,0,1,0,0,0
504,0,0,0,0,0,0,0,0,0,0
508,0,0,0,0,0,0,0,0,0,0
